Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,Saturday,1,Weekend
108,VLNK-MAO-SWV,MADGOAN JN.,SAWANTWADI ROAD,Friday,1,Weekday
128,MAO-KOP SPEC,MADGOAN JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Friday,1,Weekday
290,PALACE ON WH,DELHI-SAFDAR JANG,DELHI-SAFDAR JANG,Wednesday,1,Weekday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,Saturday,1,Weekend
421,LKO-SVDK FTR,LUCKNOW JN.,SHRI MATA VAISHNO DEVI KATRA,Tuesday,1,Weekday
422,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW JN.,Monday,1,Weekday
477,FTR TRAIN NO,SIRSA,SIRSA,Sunday,1,Weekend
502,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT JN,Monday,1,Weekday
504,PNBE-BTI FTR,PATNA JN.,BATHINDA JN,Wednesday,1,Weekday
506,PNBE-PTA FTR,PATNA JN.,PATIALA,Friday,1,Weekday
557,RSD-PJP BSF,URKURA,PANJIPARA,Wednesday,1,Weekday
22439,SVDK VANDEBHARAT,NEW DELHI,SHMATA VD KATRA,Friday,1,Weekday
604,PNBE-ASR FTR,PATNA JN.,AMRITSAR JN.,Thursday,1,Weekday
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),Thursday,1,Weekday
1037,LTT-SWV SPL,LOKMANYA TILAK TERMINUS,SAWANTWADI ROAD,Tuesday,1,Weekday
1038,SWV-LTT SPL,SAWANTWADI ROAD,LOKMANYA TILAK TERMINUS,Tuesday,1,Weekday
1045,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,KARMALI,Thursday,1,Weekday
1119,AJNI-KRMI SP,AJNI,KARMALI,Monday,1,Weekday
1120,KRMI-AJNI SP,KARMALI,AJNI,Sunday,1,Weekend
1122,KRMI-CSMT SP,KARMALI,CST-MUMBAI,Friday,1,Weekday
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,Saturday,1,Weekend
1301,PUNE-MAJN WE,PUNE JN.,MANGALORE JN,Monday,1,Weekday
1302,MAJN-PUNE WE,MANGALORE JN,PUNE JN.,Tuesday,1,Weekday
1442,DSJ-KK MTY S,DELHI-SAFDAR JANG,KHADKI,Tuesday,1,Weekday
1655,PUNE-JBP SPL,PUNE JN.,JABALPUR,Wednesday,1,Weekday
1656,JBP-PUNE SPL,JABALPUR,PUNE JN.,Friday,1,Weekday
1705,BDTS-JBP SF,BANDRA TERMINUS,JABALPUR,Friday,1,Weekday
1706,JBP-BDTS SF,JABALPUR,BANDRA TERMINUS,Saturday,1,Weekend
1707,JBP-ATT BI-W,JABALPUR,ATARI JN,Thursday,1,Weekday
1708,ATT-JBP BI-W,ATARI JN,JABALPUR,Tuesday,1,Weekday
2025,CSMT-KRMI SF,CST-MUMBAI,KARMALI,Tuesday,1,Weekday
2026,KRMI-CSMT SF,KARMALI,CST-MUMBAI,Monday,1,Weekday
2191,JBP-SRC SF S,JABALPUR,SANTRAGACHI JN.,Tuesday,1,Weekday
2192,SRC-JBP SF S,SANTRAGACHI JN.,JABALPUR,Wednesday,1,Weekday
2195,REWA-BPL SF,REWA,BHOPAL,Thursday,1,Weekday
2196,BPL-REWA SF,BHOPAL,REWA,Monday,1,Weekday
2515,TVC-SCL SPL,TRIVANDRUM CENTRAL,SILCHAR,Wednesday,1,Weekday
2651,PLNI-POY EXP,PALANI,POLLACHI,Monday,1,Weekday
2652,POY-PLNI EXP,POLLACHI,PALANI,Thursday,1,Weekday
2731,HYB-JP HSP,HYDERABAD DECCAN,JAIPUR JN.,Thursday,1,Weekday
2732,JP-HYB SPECI,JAIPUR JN.,HYDERABAD DECCAN,Monday,1,Weekday
2821,PUNE-SRC AC,PUNE JN.,SANTRAGACHI JN.,Friday,1,Weekday
2822,SRC-PUNE  AC,SANTRAGACHI JN.,PUNE JN.,Friday,1,Weekday
2833,RJT-SRC SF A,RAJKOT,SANTRAGACHI JN.,Thursday,1,Weekday
2834,SRC-RJT SF A,SANTRAGACHI JN.,RAJKOT,Saturday,1,Weekend
2841,SRC MAS SPL,SANTRAGACHI JN.,CHENNAI CENTRAL,Wednesday,1,Weekday
2842,MAS SRC SPL,CHENNAI CENTRAL,SANTRAGACHI JN.,Wednesday,1,Weekday
2845,PUNE HTE SPL,PUNE JN.,HATIA,Thursday,1,Weekday
2846,HTE-PUNE SPL,HATIA,PUNE JN.,Friday,1,Weekday
3101,KOAA PURI SP,KOLKATA,PURI,Friday,1,Weekday
3102,PURI KOAA SP,PURI,KOLKATA,Sunday,1,Weekend
3301,ASN-DHN MEMU,ASANSOL MAIN,DHANBAD JN.,Wednesday,1,Weekday
3302,DHN-ASN MEMU,DHANBAD JN.,ASANSOL MAIN,Monday,1,Weekday
3305,DHN-KUSUNDA,DHANBAD JN.,KUSUNDA,Saturday,1,Weekend
3306,KUSUNDA-DHN,KUSUNDA,DHANBAD JN.,Friday,1,Weekday
3307,SZE-PLJE MEM,SONARDIH,PHULWARTANR,Wednesday,1,Weekday
3308,PLJE-SZE MEM,PHULWARTANR,SONARDIH,Friday,1,Weekday
3501,JSME-ANVT BI,JASIDIH JN.,ANAND VIHAR TERMINAL,Sunday,1,Weekend
3502,ANVT-JSME BI,ANAND VIHAR TERMINAL,JASIDIH JN.,Saturday,1,Weekend
4401,ANVT-UHP EXP,ANAND VIHAR TERMINAL,SHRI MATA VAISHNO DEVI KATRA,Thursday,1,Weekday
4402,UHP-ANVT EXP,SHRI MATA VAISHNO DEVI KATRA,ANAND VIHAR TERMINAL,Thursday,1,Weekday
4409,DLI-SVDK SPL,DELHI JN.,SHRI MATA VAISHNO DEVI KATRA,Sunday,1,Weekend
4410,SVDK-DLI SPL,SHRI MATA VAISHNO DEVI KATRA,DELHI JN.,Wednesday,1,Weekday
4419,MAO-NZM WINT,MADGOAN JN.,HAZRAT NIZAMUDDIN JN,Sunday,1,Weekend
4420,NZM-MAO WINT,HAZRAT NIZAMUDDIN JN,MADGOAN JN.,Wednesday,1,Weekday
4735,BKN - HW EXP,BIKANER JN.,HARIDWAR JN,Sunday,1,Weekend
4736,HW - BKN EXP,HARIDWAR JN,BIKANER JN.,Tuesday,1,Weekday
4767,HMH-SGNR SPL,HANUMANGARH JN.,SHRI GANGANAGAR,Sunday,1,Weekend
4768,SGNR-HMH SPL,SHRI GANGANAGAR,HANUMANGARH JN.,Wednesday,1,Weekday
4769,HMH SGNR PAS,HANUMANGARH JN.,SHRI GANGANAGAR,Monday,1,Weekday
4770,SGNR HMH PAS,SHRI GANGANAGAR,HANUMANGARH JN.,Thursday,1,Weekday
4771,SDLP-SGNR SP,SADULPUR JN,SHRI GANGANAGAR,Tuesday,1,Weekday
4772,SGNR-SDLP SP,SHRI GANGANAGAR,SADULPUR JN,Tuesday,1,Weekday
4773,SGNR SOG SPL,SHRI GANGANAGAR,SURATGARH JN.,Tuesday,1,Weekday
4774,SOG SGNR SPL,SURATGARH JN.,SHRI GANGANAGAR,Sunday,1,Weekend
4801,PBC MKN PASS,PARVATSAR CITY,MAKRANA JN.,Thursday,1,Weekday
4802,MKN PBC PASS,MAKRANA JN.,PARVATSAR CITY,Saturday,1,Weekend
4831,JU HW SPL,JODHPUR JN.,HARIDWAR JN,Sunday,1,Weekend
4832,HW JU SPL,HARIDWAR JN,JODHPUR JN.,Wednesday,1,Weekday
4851,MTD RTGH SPL,MERTA ROAD JN.,RATANAGARH JN,Thursday,1,Weekday
4852,RTGH MTD SPL,RATANAGARH JN,MERTA ROAD JN.,Monday,1,Weekday
4853,RTGH CUR SPL,RATANAGARH JN,CHURU,Monday,1,Weekday
4854,CUR RTGH SPL,CHURU,RATANAGARH JN,Monday,1,Weekday
